(uses, uses)
(indentifier, crt)
(;, ;)
(var, var)
(indentifier, num)
(,, ,)
(indentifier, a)
(:, :)
(array, array)
([, [)
(inter, 1)
(.., ..)
(inter, 20)
(,, ,)
(inter, 1)
(.., ..)
(inter, 20)
(], ])
(of, of)
(indentifier, integer)
(;, ;)
(-1, -)
(inter, 1)
(;, ;)
(inter, 12)
(-, -)
(inter, 3)
(;, ;)
(+1, +)
(inter, 1)
(;, ;)
(indentifier, asdf)
(+, +)
(inter, 23)
(;, ;)
(real, 1.20e-20)
(real, 1.3)
(real, 1.3e+2e34e-23)
(indentifier, i)
(,, ,)
(indentifier, j)
(,, ,)
(indentifier, next)
(,, ,)
(indentifier, dif)
(:, :)
(indentifier, integer)
(;, ;)
(indentifier, key)
(:, :)
(indentifier, char)
(;, ;)
(indentifier, fail)
(,, ,)
(indentifier, win)
(:, :)
(indentifier, boolean)
(;, ;)
(indentifier, fo)
(:, :)
(indentifier, text)
(;, ;)
(indentifier, re)
(:, :)
(indentifier, char)
(;, ;)
(procedure, procedure)
(indentifier, show)
((, ()
(indentifier, i)
(:, :)
(indentifier, integer)
(), ))
(;, ;)
(indentifier, begin)
(indentifier, clrscr)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(indentifier, writeln)
(;, ;)
(if, if)
(indentifier, i)
(=, =)
(inter, 1)
(then, then)
(indentifier, writeln)
((, ()
(string, '                       **         EASY           **')
(), ))
(else, else)
(indentifier, writeln)
((, ()
(string, '                                  EASY')
(), ))
(;, ;)
(if, if)
(indentifier, i)
(=, =)
(inter, 2)
(then, then)
(indentifier, writeln)
((, ()
(string, '                       **         ORDINARILY     **')
(), ))
(else, else)
(indentifier, writeln)
((, ()
(string, '                                  ORDINARILY')
(), ))
(;, ;)
(if, if)
(indentifier, i)
(=, =)
(inter, 3)
(then, then)
(indentifier, writeln)
((, ()
(string, '                       **         HARD           **')
(), ))
(else, else)
(indentifier, writeln)
((, ()
(string, '                                  HARD')
(), ))
(;, ;)
(end, end)
(;, ;)
(procedure, procedure)
(indentifier, choose)
